Date,obedient_metal_eel,striped_teal_baboon,huge_emerald_griffin,wide_beige_hornet,fast_burlap_aphid,original_peanut_snail,skinny_blue_sidewinder,high_beige_lobster,short_carrot_lemur,puny_tan_rhino,polite_brown_cormorant,creamy_mango_porcupine,trendy_caramel_dalmatian,clean_beige_cormorant,bright_syrup_lion,trendy_coal_ladybug,future_cloth_cormorant
2021-10-03,0.22763397,0.11935935,0.33010677,0.29345117,0.15394064,0.01639646,0.20963891,0.20125385,0.24928009,0.11988098,0.03774276,0.02373153,0.6647716,0.01310857,0.30102815,0.0,0.04274048
2021-10-02,0.32645317,0.08375542,0.39971434,0.31242389,0.27682022,0.02844063,0.21294482,0.2907061,0.54080113,0.1168535,0.1766561,0.00844469,0.88318739,0.01629131,0.15136071,0.00460846,0.01348518
2021-10-01,0.08259339,0.08470156,0.51245026,0.21372267,0.17727063,0.02331305,0.28522571,0.19389903,0.17617208,0.07586903,0.17680679,0.01513851,0.66269986,0.02255568,0.10563454,0.02360749,0.00955033
2021-09-30,0.0420272,0.16417428,0.30550553,0.36343721,0.11290256,0.00954558,0.10731807,0.0984954,0.1986571,0.1094017,0.06095517,0.0084726,0.38141585,0.03074548,0.2228374,0.02077138,0.05249523
2021-09-29,0.34165793,0.07082369,0.28791139,0.32351277,0.3685527,0.01786661,0.08494583,0.16658452,0.07700166,0.05816223,0.16556732,0.00963157,0.69547043,0.00522463,0.31541293,0.0096895,0.03752431
2021-09-28,0.252914,0.12538233,0.24190585,0.21097792,0.3285608,0.02779676,0.07357413,0.13933253,0.00896544,0.01412876,0.1098685,0.01693083,0.35739095,0.00844229,0.17253263,0.01617004,0.08272651
2021-09-27,0.20915795,0.20435855,0.45838356,0.56056798,0.19454713,0.00863668,0.18316449,0.18490672,0.01462947,0.00984941,0.12479209,0.00950915,0.69457905,0.00970566,0.22816013,0.01462552,0.09369021
2021-09-26,0.21077597,0.16966935,0.31263304,0.30032178,0.5240921,0.0,0.27172926,0.22058229,0.0,0.09651105,0.07550645,0.02117851,0.4858987,0.00966792,0.3678264,0.01579122,0.01096373
2021-09-25,0.30526574,0.09312185,0.39423366,0.43251585,0.3987838,0.0,0.20924722,0.22978871,0.0,0.06358115,0.21013446,0.00461883,0.74038495,0.00919099,0.1767659,0.01631957,0.01048574
2021-09-24,0.19461133,0.18435909,0.32780474,0.45449381,0.33410748,0.0,0.3446513,0.30447276,0.0,0.08915279,0.26130094,0.004785,0.93805076,0.01183176,0.17657429,0.01515486,0.00559898
2021-09-23,0.40585231,0.04819692,0.39291884,0.51253592,0.22773136,0.0,0.20256882,0.31329607,0.0,0.18708183,0.45862496,0.01104225,0.65946186,0.00517131,0.28572296,0.00543231,0.14816789
2021-09-22,0.45745942,0.11698206,0.22171628,0.66876648,0.35697412,0.0,0.23634671,0.46446834,0.23340213,0.04482112,0.25893571,0.00549078,0.77993847,0.01665602,0.42006824,0.01134943,0.02176928
2021-09-21,0.23482436,0.11839953,0.2232891,0.25226,0.28831962,0.00509484,0.29769117,0.3636042,0.14837418,0.2171636,0.21969708,0.00911567,0.82840061,0.01555443,0.40527039,0.01761925,0.12540351
